time	well	yfp	od
5858	F12	35	0.038699999
5858	G12	40	0.036600001
5858	H12	36	0.040100001
7214	A1	32	0.039299998
7214	B1	34	0.038899999
7214	C1	36	0.037999999
7214	D1	35	0.039299998
7214	E1	36	0.0381
7214	F1	37	0.0385
7214	G1	36	0.039299998
7214	H1	36	0.0383
7214	A2	37	0.038199998
7214	B2	35	0.039000001
7214	C2	36	0.038199998
7214	D2	36	0.0392
7214	E2	35	0.038699999
7214	F2	36	0.039099999
7214	G2	35	0.039700001
7214	H2	37	0.039900001
7214	A3	36	0.038899999
7214	B3	36	0.039000001
7214	C3	36	0.037999999
7214	D3	38	0.0396
7214	E3	37	0.0381
7214	F3	39	0.038199998
7214	G3	38	0.0396
7214	H3	35	0.0405
7214	A4	36	0.039299998
7214	B4	138	0.214100003
7214	C4	125	0.243300006
7214	D4	42	0.518100023
7214	E4	45	0.56129998
7214	F4	35172	0.548799992
7214	G4	3009	0.498199999
7214	H4	37	0.0394
7214	A5	38	0.039299998
7214	B5	98	0.184300005
7214	C5	89	0.209999993
7214	D5	33	0.405299991
7214	E5	34	0.437700003
7214	F5	21668	0.42019999
7214	G5	2755	0.4454
7214	H5	38	0.039900001
7214	A6	36	0.038800001
7214	B6	103	0.199699998
7214	C6	102	0.2289
7214	D6	37	0.49149999
7214	E6	38	0.521000028
7214	F6	28036	0.505800009
7214	G6	2785	0.467400014
7214	H6	36	0.0405
7214	A7	37	0.0394
7214	B7	162	0.207900003
7214	C7	167	0.240600005
7214	D7	37	0.229900002
7214	E7	36	0.225400001
7214	F7	8237	0.216800004
7214	G7	555	0.222499996
7214	H7	38	0.039999999
7214	A8	36	0.038699999
7214	B8	96	0.185499996
7214	C8	97	0.210899994
7214	D8	39	0.215299994
7214	E8	40	0.220899999
7214	F8	9202	0.230399996
7214	G8	555	0.217700005
7214	H8	36	0.0403
7214	A9	35	0.037900001
7214	B9	109	0.189400002
7214	C9	113	0.216900006
7214	D9	39	0.1972
7214	E9	38	0.186299995
7214	F9	8639	0.221200004
7214	G9	558	0.220500007
7214	H9	36	0.0403
7214	A10	35	0.039700001
7214	B10	37	0.039299998
7214	C10	35	0.039299998
7214	D10	37	0.040600002
7214	E10	34	0.038800001
7214	F10	36	0.038800001
7214	G10	39	0.0436
7214	H10	38	0.040399998
7214	A11	35	0.039299998
7214	B11	34	0.040100001
7214	C11	37	0.0394
7214	D11	32	0.039799999
7214	E11	36	0.039099999
7214	F11	37	0.0396
7214	G11	36	0.038800001
7214	H11	35	0.0405
7214	A12	37	0.0396
7214	B12	34	0.0405
7214	C12	35	0.0392
7214	D12	34	0.039999999
7214	E12	35	0.0381
7214	F12	35	0.039000001
7214	G12	36	0.036899999
7214	H12	36	0.040600002
9795	A1	34	0.039500002
9795	B1	36	0.0396
9795	C1	36	0.039000001
9795	D1	34	0.039299998
9795	E1	35	0.039099999
9795	F1	37	0.039500002
9795	G1	35	0.040199999
9795	H1	40	0.0394
9795	A2	36	0.038699999
9795	B2	32	0.0396
9795	C2	33	0.038600001
9795	D2	36	0.0394
9795	E2	35	0.038899999
9795	F2	38	0.039700001
9795	G2	36	0.039900001
9795	H2	37	0.040399998
9795	A3	35	0.039299998
9795	B3	36	0.039700001
9795	C3	36	0.0385
9795	D3	34	0.039799999
9795	E3	36	0.0383
9795	F3	38	0.038899999
9795	G3	35	0.039799999
9795	H3	36	0.040800001
9795	A4	37	0.039299998
9795	B4	95	0.231299996
9795	C4	258	0.289499998
9795	D4	63	0.729499996
9795	E4	69	0.759599984
9795	F4	NA	0.721700013
9795	G4	10868	0.690999985
9795	H4	37	0.0394
9795	A5	38	0.0394
9795	B5	176	0.213599995
9795	C5	174	0.263300002
9795	D5	53	0.621500015
9795	E5	52	0.644699991
9795	F5	58273	0.632600009
9795	G5	9615	0.650200009
9795	H5	40	0.040199999
9795	A6	36	0.039099999
9795	B6	189	0.222299993
9795	C6	203	0.279100001
9795	D6	60	0.682099998
9795	E6	64	0.694999993
9795	F6	62985	0.693599999
9795	G6	9651	0.664399981
9795	H6	36	0.041000001
9795	A7	35	0.039500002
9795	B7	192	0.171499997
9795	C7	214	0.221900001
9795	D7	46	0.230499998
9795	E7	48	0.238900006
9795	F7	12503	0.246999994
9795	G7	764	0.246000007
9795	H7	38	0.039999999
9795	A8	34	0.0385
9795	B8	159	0.180000007
9795	C8	181	0.223100007
9795	D8	47	0.228300005
9795	E8	47	0.231399998
9795	F8	12445	0.243900001
9795	G8	747	0.241500005
9795	H8	39	0.040100001
9795	A9	35	0.039000001
9795	B9	153	0.162599996
9795	C9	171	0.201800004
9795	D9	44	0.230399996
9795	E9	45	0.228300005
9795	F9	12556	0.2421
9795	G9	747	0.240600005
9795	H9	34	0.0403
9795	A10	35	0.040100001
9795	B10	33	0.040100001
9795	C10	37	0.039900001
9795	D10	35	0.041200001
9795	E10	33	0.038600001
9795	F10	38	0.039000001
9795	G10	36	0.0407
9795	H10	38	0.040199999
9795	A11	35	0.039900001
9795	B11	34	0.040800001
9795	C11	34	0.039900001
9795	D11	35	0.039999999
9795	E11	36	0.039500002
9795	F11	34	0.040199999
9795	G11	39	0.0396
9795	H11	38	0.0405
9795	A12	35	0.040100001
9795	B12	33	0.041000001
9795	C12	36	0.039299998
9795	D12	37	0.040199999
9795	E12	36	0.038699999
9795	F12	35	0.039900001
9795	G12	35	0.037700001
9795	H12	36	0.040199999
10875	A1	36	0.0392
10875	B1	36	0.038800001
10875	C1	35	0.0383
10875	D1	37	0.038899999
10875	E1	36	0.038199998
10875	F1	38	0.0385
10875	G1	37	0.039299998
10875	H1	38	0.038699999
10875	A2	35	0.038199998
10875	B2	33	0.038400002
10875	C2	34	0.037599999
10875	D2	34	0.0385
10875	E2	34	0.038699999
10875	F2	36	0.039099999
10875	G2	36	0.039700001
10875	H2	37	0.0403
10875	A3	37	0.038800001
10875	B3	35	0.039000001
10875	C3	36	0.0381
10875	D3	37	0.039500002
10875	E3	37	0.037900001
10875	F3	40	0.037900001
10875	G3	36	0.039099999
10875	H3	38	0.040100001
10875	A4	40	0.038800001
10875	B4	78	0.243200004
10875	C4	73	0.299400002
10875	D4	69	0.764100015
10875	E4	84	0.786899984
10875	F4	NA	0.767799973
10875	G4	20324	0.751299977
10875	H4	39	0.039099999
10875	A5	37	0.038699999
10875	B5	240	0.225099996
10875	C5	245	0.279300004
10875	D5	63	0.695900023
10875	E5	71	0.713400006
10875	F5	NA	0.712100029
10875	G5	16985	0.720700026
10875	H5	38	0.038600001
10875	A6	36	0.038699999
10875	B6	123	0.226500005
10875	C6	179	0.286599994
10875	D6	68	0.730300009
10875	E6	81	0.743200004
10875	F6	NA	0.746599972
10875	G6	17192	0.731999993
10875	H6	36	0.038699999
10875	A7	37	0.038600001
10875	B7	83	0.169300005
10875	C7	87	0.219500005
10875	D7	52	0.231999993
10875	E7	51	0.241799995
10875	F7	12951	0.248500004
10875	G7	798	0.248500004
10875	H7	40	0.0394
10875	A8	36	0.037900001
10875	B8	186	0.166199997
10875	C8	212	0.207100004
10875	D8	52	0.228799999
10875	E8	52	0.233799994
10875	F8	12799	0.244900003
10875	G8	789	0.244499996
10875	H8	38	0.0396
10875	A9	35	0.038600001
10875	B9	160	0.142700002
10875	C9	190	0.175799996
10875	D9	50	0.230499998
10875	E9	52	0.228499994
10875	F9	12948	0.244100004
10875	G9	789	0.244399995
10875	H9	37	0.0396
10875	A10	34	0.0392
10875	B10	37	0.039000001
10875	C10	36	0.038899999
10875	D10	36	0.040100001
10875	E10	36	0.038600001
10875	F10	36	0.0385
10875	G10	36	0.040199999
10875	H10	38	0.039799999
10875	A11	33	0.038600001
10875	B11	33	0.0396
10875	C11	36	0.039000001
10875	D11	35	0.039000001
10875	E11	35	0.038600001
10875	F11	35	0.038800001
10875	G11	37	0.038400002
10875	H11	37	0.039299998
10875	A12	33	0.040199999
10875	B12	37	0.039700001
10875	C12	35	0.038400002
10875	D12	36	0.0394
10875	E12	35	0.0385
10875	F12	33	0.038699999
10875	G12	37	0.036600001
10875	H12	36	0.0394
12236	A1	36	0.039099999
12236	B1	34	0.038699999
12236	C1	35	0.037999999
12236	D1	34	0.038899999
12236	E1	35	0.038400002
12236	F1	38	0.0385
12236	G1	38	0.039500002
12236	H1	39	0.038800001
12236	A2	37	0.0385
12236	B2	32	0.038699999
12236	C2	34	0.037599999
12236	D2	35	0.038899999
12236	E2	36	0.038800001
12236	F2	35	0.0392
12236	G2	35	0.040399998
12236	H2	35	0.040399998
12236	A3	37	0.039700001
12236	B3	34	0.039299998
12236	C3	39	0.038400002
12236	D3	35	0.039799999
12236	E3	37	0.0385
12236	F3	39	0.038400002
12236	G3	36	0.041200001
12236	H3	37	0.0407
12236	A4	36	0.038800001
12236	B4	86	0.258399993
12236	C4	86	0.332300007
12236	D4	76	0.779200017
12236	E4	96	0.798799992
12236	F4	NA	0.788600028
12236	G4	35532	0.775900006
12236	H4	39	0.0392
12236	A5	35	0.038899999
12236	B5	77	0.230399996
12236	C5	73	0.297199994
12236	D5	69	0.746100008
12236	E5	91	0.760100007
12236	F5	NA	0.773599982
12236	G5	33349	0.766200006
12236	H5	40	0.0392
12236	A6	37	0.038899999
12236	B6	73	0.234599993
12236	C6	76	0.31279999000000003
12236	D6	72	0.755999982
12236	E6	95	0.766200006
12236	F6	NA	0.780700028
12236	G6	33338	0.772199988
12236	H6	36	0.039000001
12236	A7	37	0.039099999
12236	B7	84	0.172000006
12236	C7	89	0.245499998
12236	D7	55	0.236900002
12236	E7	54	0.246299997
12236	F7	13133	0.253600001
12236	G7	811	0.253399998
12236	H7	37	0.039500002
12236	A8	37	0.037900001
12236	B8	80	0.150600001
12236	C8	80	0.195199996
12236	D8	55	0.232700005
12236	E8	58	0.238299996
12236	F8	12997	0.2491
12236	G8	803	0.248999998
12236	H8	39	0.039900001
12236	A9	37	0.0385
12236	B9	143	0.120899998
12236	C9	135	0.154899999
12236	D9	53	0.236499995
12236	E9	54	0.234999999
12236	F9	13070	0.249500006
12236	G9	803	0.248899996
12236	H9	38	0.039900001
12236	A10	35	0.038800001
12236	B10	35	0.038400002
12236	C10	36	0.038699999
12236	D10	37	0.039900001
12236	E10	37	0.038600001
12236	F10	37	0.038600001
12236	G10	36	0.0403
12236	H10	37	0.039500002
12236	A11	36	0.040199999
12236	B11	34	0.040100001
12236	C11	34	0.039500002
12236	D11	35	0.0396
12236	E11	35	0.038899999
12236	F11	34	0.039299998
12236	G11	34	0.038699999
12236	H11	38	0.040100001
12236	A12	34	0.0381
12236	B12	36	0.0396
12236	C12	35	0.038600001
12236	D12	35	0.039700001
12236	E12	35	0.038899999
12236	F12	37	0.0394
12236	G12	36	0.0372
12236	H12	38	0.039799999
0	A1	34	0.039700001
0	B1	35	0.039700001
0	C1	34	0.043299999
0	D1	32	0.039799999
0	E1	32	0.038699999
0	F1	34	0.039799999
0	G1	34	0.0427
0	H1	34	0.0394
0	A2	35	0.037700001
0	B2	33	0.0392
0	C2	32	0.040100001
0	D2	32	0.038400002
0	E2	33	0.039000001
0	F2	33	0.039700001
0	G2	35	0.039999999
0	H2	37	0.0394
0	A3	35	0.038899999
0	B3	35	0.040100001
0	C3	34	0.0385
0	D3	34	0.039299998
0	E3	30	0.038800001
0	F3	37	0.0394
0	G3	33	0.039799999
0	H3	33	0.039500002
0	A4	33	0.0416
0	B4	39	0.067199998
0	C4	42	0.067299999
0	D4	40	0.064000003
0	E4	39	0.067599997
0	F4	4244	0.066
0	G4	1169	0.059700001
0	H4	35	0.039099999
0	A5	36	0.0392
0	B5	40	0.055500001
0	C5	40	0.056299999
0	D5	41	0.054299999
0	E5	38	0.054699998
0	F5	3598	0.054499999
0	G5	1140	0.055100001
0	H5	37	0.038600001
0	A6	33	0.0394
0	B6	35	0.060800001
0	C6	40	0.0623
0	D6	38	0.0605
0	E6	40	0.060699999
0	F6	3873	0.0601
0	G6	1153	0.056600001
0	H6	34	0.039099999
0	A7	35	0.038800001
0	B7	39	0.073899999
0	C7	39	0.074900001
0	D7	39	0.045299999
0	E7	42	0.045600001
0	F7	471	0.045600001
0	G7	78	0.046300001
0	H7	33	0.038899999
0	A8	33	0.038699999
0	B8	38	0.056899998
0	C8	40	0.0579
0	D8	41	0.046999998
0	E8	40	0.045200001
0	F8	585	0.0469
0	G8	80	0.045499999
0	H8	35	0.0394
0	A9	36	0.039500002
0	B9	35	0.060199998
0	C9	44	0.0614
0	D9	43	0.0458
0	E9	43	0.044399999
0	F9	516	0.046799999
0	G9	83	0.0469
0	H9	36	0.038699999
0	A10	34	0.039799999
0	B10	35	0.039900001
0	C10	34	0.038899999
0	D10	31	0.039999999
0	E10	35	0.0381
0	F10	32	0.038699999
0	G10	34	0.038400002
0	H10	35	0.038699999
0	A11	32	0.039799999
0	B11	34	0.039500002
0	C11	34	0.0394
0	D11	33	0.039299998
0	E11	34	0.0381
0	F11	34	0.039299998
0	G11	36	0.037799999
0	H11	33	0.038899999
0	A12	34	0.042800002
0	B12	35	0.041099999
0	C12	34	0.039799999
0	D12	32	0.040800001
0	E12	34	0.038199998
0	F12	33	0.039000001
0	G12	33	0.037099998
0	H12	36	0.0396
1488	A1	36	0.039299998
1488	B1	36	0.038699999
1488	C1	34	0.0385
1488	D1	36	0.0392
1488	E1	35	0.037900001
1488	F1	37	0.038199998
1488	G1	38	0.0392
1488	H1	38	0.040199999
1488	A2	33	0.0381
1488	B2	34	0.0383
1488	C2	36	0.037700001
1488	D2	34	0.039099999
1488	E2	35	0.0392
1488	F2	34	0.039000001
1488	G2	35	0.039299998
1488	H2	37	0.039799999
1488	A3	35	0.038699999
1488	B3	35	0.0392
1488	C3	34	0.037799999
1488	D3	37	0.0396
1488	E3	34	0.0383
1488	F3	35	0.037999999
1488	G3	35	0.039299998
